hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,102,2016,October,44,27,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,104.4,0,0,Canceled,2016-10-24
City Hotel,1,147,2015,July,30,21,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient,75.0,0,0,Canceled,2015-07-10
City Hotel,0,195,2017,April,15,12,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.5,0,1,Check-Out,2017-04-16
City Hotel,1,115,2017,May,20,18,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,170.0,,0,Transient,190.0,0,0,Canceled,2017-01-23
Resort Hotel,1,163,2017,July,29,18,0,1,2,0.0,0,HB,CN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,226.0,0,1,Canceled,2017-03-12
Resort Hotel,0,154,2017,March,10,6,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242.0,,0,Transient,62.3,0,2,Check-Out,2017-03-10
City Hotel,1,262,2015,November,46,9,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0,Canceled,2015-09-04
City Hotel,1,65,2016,July,30,22,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,64.0,0,0,Canceled,2016-07-19
Resort Hotel,0,37,2015,August,34,21,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,222.0,0,0,Check-Out,2015-08-28
Resort Hotel,1,193,2017,August,32,7,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,202.0,0,1,Canceled,2017-06-26
Resort Hotel,0,49,2015,July,31,27,1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,118.17,0,0,Check-Out,2015-08-02
Resort Hotel,0,12,2016,May,19,4,0,1,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,D,D,1,No Deposit,,110.0,0,Transient,78.18,0,0,Check-Out,2016-05-05
City Hotel,0,3,2015,October,40,1,0,1,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,45.0,0,Transient,0.0,0,0,Check-Out,2015-10-02
City Hotel,0,44,2017,April,16,20,0,3,2,0.0,0,BB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,133.33,0,1,Check-Out,2017-04-23
City Hotel,0,97,2017,June,25,21,0,3,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,162.0,0,2,Check-Out,2017-06-24
City Hotel,0,6,2017,March,13,29,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,74.48,0,1,Check-Out,2017-03-31
City Hotel,0,112,2016,August,32,1,1,5,3,0.0,0,BB,NLD,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,159.67,0,0,Check-Out,2016-08-07
Resort Hotel,0,47,2015,August,35,29,2,1,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,103.18,0,1,Check-Out,2015-09-01
Resort Hotel,0,0,2016,December,50,9,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,91.0,0,1,Check-Out,2016-12-11
Resort Hotel,0,275,2016,April,16,10,2,5,2,0.0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,No Deposit,273.0,,0,Transient-Party,74.45,0,0,Check-Out,2016-04-17
City Hotel,1,16,2017,May,18,2,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0,1,Canceled,2017-04-17
City Hotel,0,240,2016,June,24,9,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,106.2,0,0,Check-Out,2016-06-12
City Hotel,1,23,2016,September,40,26,1,3,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,119.0,0,1,Canceled,2016-09-23
City Hotel,0,41,2016,December,53,27,2,5,2,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,220.0,,0,Transient-Party,69.29,0,0,Check-Out,2017-01-03
Resort Hotel,0,0,2017,August,35,28,1,0,2,0.0,0,BB,CHE,Direct,Direct,1,0,0,E,E,0,No Deposit,,,0,Transient,194.0,1,0,Check-Out,2017-08-29
City Hotel,0,4,2017,March,13,27,1,1,1,0.0,0,BB,ISR,Groups,TA/TO,1,0,1,A,A,0,No Deposit,37.0,,0,Group,85.0,0,0,Check-Out,2017-03-29
City Hotel,0,159,2017,July,31,31,1,3,0,2.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,121.88,0,1,Check-Out,2017-08-04
Resort Hotel,0,11,2017,June,22,1,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,97.25,1,2,Check-Out,2017-06-04
City Hotel,1,276,2016,May,20,13,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,160,Transient,61.0,0,0,Canceled,2016-01-18
City Hotel,0,0,2016,September,38,12,1,0,1,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,159.0,0,1,Check-Out,2016-09-13
City Hotel,1,269,2015,July,29,13,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01
City Hotel,0,2,2016,October,44,25,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,0,Check-Out,2016-10-26
City Hotel,1,65,2016,July,28,9,1,1,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,148.5,0,0,Canceled,2016-05-05
City Hotel,1,38,2017,January,2,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,67.0,0,Transient,75.0,0,0,Canceled,2016-12-07
City Hotel,0,126,2016,May,19,4,0,4,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,106.03,0,2,Check-Out,2016-05-08
City Hotel,0,169,2017,July,27,2,1,0,1,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,9.0,,0,Transient,107.1,0,0,Check-Out,2017-07-03
Resort Hotel,0,4,2016,December,49,2,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,468.0,,0,Transient-Party,38.4,0,0,Check-Out,2016-12-03
City Hotel,1,133,2016,August,34,16,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,124.8,0,0,Canceled,2016-04-18
City Hotel,0,0,2015,October,41,5,1,1,2,0.0,0,BB,CN,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,114.0,0,0,Check-Out,2015-10-07
City Hotel,0,0,2016,February,6,5,0,2,1,0.0,0,SC,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,79.0,0,0,Check-Out,2016-02-07
Resort Hotel,1,33,2017,July,30,28,0,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,240.0,,0,Transient,257.0,0,1,Canceled,2017-07-04
City Hotel,0,101,2016,July,30,23,2,5,2,1.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,92.83,0,1,Check-Out,2016-07-30
City Hotel,1,243,2017,July,30,26,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110.0,0,0,Canceled,2016-11-25
City Hotel,0,270,2017,July,31,31,1,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,98.1,1,1,Check-Out,2017-08-02
City Hotel,1,34,2017,June,23,6,2,5,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,128.57,0,1,Canceled,2017-05-03
City Hotel,0,3,2016,November,48,24,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,6,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2016-11-25
Resort Hotel,1,18,2017,February,8,24,2,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,94.0,0,0,Canceled,2017-02-06
Resort Hotel,0,47,2017,June,24,16,2,3,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,174.8,1,1,Check-Out,2017-06-21
Resort Hotel,0,88,2016,August,35,22,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0,Transient,199.2,0,0,Check-Out,2016-08-26
City Hotel,0,0,2016,June,26,21,0,2,1,0.0,0,BB,GRC,Aviation,Corporate,0,0,0,A,A,0,No Deposit,,153.0,0,Transient,95.0,0,0,Check-Out,2016-06-23
Resort Hotel,0,163,2016,October,41,2,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,95.0,1,2,Check-Out,2016-10-06
City Hotel,0,5,2016,March,12,19,2,1,2,0.0,0,BB,USA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,93.33,0,0,Check-Out,2016-03-22
City Hotel,1,173,2016,December,51,16,0,2,3,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,122.4,0,0,Canceled,2016-08-19
Resort Hotel,0,0,2015,December,52,21,1,0,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,38.0,0,0,Check-Out,2015-12-22
City Hotel,1,468,2016,October,43,20,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,1,344,2016,June,25,16,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
Resort Hotel,1,183,2016,December,49,3,2,1,2,0.0,0,FB,PRT,Groups,TA/TO,0,0,0,A,C,1,Non Refund,38.0,,0,Transient,72.0,0,0,Canceled,2016-10-26
City Hotel,0,144,2016,September,39,23,2,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,129.6,0,2,Check-Out,2016-09-28
City Hotel,0,84,2015,October,42,16,1,2,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,89.25,0,2,Check-Out,2015-10-19
City Hotel,0,124,2016,June,24,10,1,2,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,126.9,0,2,Check-Out,2016-06-13
Resort Hotel,1,200,2017,July,30,23,4,8,2,2.0,0,BB,CHE,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,244.0,0,0,Canceled,2017-01-04
City Hotel,1,31,2017,February,7,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,16,Transient,95.0,0,0,Canceled,2017-02-02
Resort Hotel,0,5,2016,December,49,2,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,54.0,1,0,Check-Out,2016-12-03
Resort Hotel,0,56,2017,January,2,13,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,250.0,,0,Transient,37.8,0,0,Check-Out,2017-01-15
City Hotel,0,163,2017,August,34,23,0,3,2,2.0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,200.0,0,1,Check-Out,2017-08-26
City Hotel,1,93,2017,May,18,6,2,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,135.0,0,0,Canceled,2017-02-08
City Hotel,1,34,2015,December,50,8,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,0,Transient,90.0,0,0,Canceled,2015-11-17
Resort Hotel,0,4,2017,August,31,1,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,D,0,No Deposit,,94.0,0,Transient,135.0,0,0,Check-Out,2017-08-02
City Hotel,0,80,2017,January,2,11,0,4,2,1.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.4,0,3,Check-Out,2017-01-15
City Hotel,0,136,2016,July,29,13,2,5,2,0.0,0,HB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,131.75,0,0,Check-Out,2016-07-20
City Hotel,1,143,2016,July,28,8,0,2,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,246.6,0,1,Canceled,2016-04-07
City Hotel,1,317,2016,September,37,9,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,58.0,,56,Transient,90.0,0,0,Canceled,2015-12-23
Resort Hotel,0,305,2016,July,30,18,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,314.0,,0,Transient-Party,116.57,0,1,Check-Out,2016-07-25
City Hotel,0,41,2016,December,53,27,0,1,2,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,220.0,,0,Transient-Party,65.0,0,1,Check-Out,2016-12-28
Resort Hotel,1,13,2016,January,2,5,8,20,2,0.0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,332.0,,0,Transient,65.0,0,0,Canceled,2015-12-29
City Hotel,0,95,2016,March,13,23,0,3,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,,0,Transient,81.5,0,0,Check-Out,2016-03-26
City Hotel,0,4,2016,January,5,24,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,63.6,0,0,Check-Out,2016-01-28
Resort Hotel,0,48,2016,May,20,11,0,1,2,0.0,0,HB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,95.0,1,0,Check-Out,2016-05-12
Resort Hotel,0,332,2017,June,26,25,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,40.0,,0,Contract,64.42,0,0,Check-Out,2017-07-09
City Hotel,1,170,2017,April,17,26,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.5,0,2,Canceled,2016-12-26
Resort Hotel,0,154,2016,July,30,21,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,92.1,0,0,Check-Out,2016-07-28
City Hotel,1,99,2016,February,8,19,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,1,0,A,A,0,No Deposit,,67.0,0,Transient-Party,80.0,0,0,Canceled,2015-12-22
Resort Hotel,0,365,2016,October,42,13,1,3,2,0.0,0,BB,NLD,Groups,Corporate,0,0,0,A,B,1,No Deposit,,223.0,0,Transient-Party,66.0,0,0,Check-Out,2016-10-17
Resort Hotel,0,1,2017,May,20,18,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,82.0,1,0,Check-Out,2017-05-19
Resort Hotel,1,75,2017,June,23,5,1,2,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,240.0,,0,Transient,208.0,0,1,Canceled,2017-03-25
City Hotel,0,207,2017,July,30,29,1,1,3,1.0,0,BB,GBR,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,187.5,0,0,Check-Out,2017-07-31
City Hotel,1,34,2015,December,50,8,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,0,Transient,90.0,0,0,Canceled,2015-11-17
City Hotel,1,1,2016,October,44,25,0,1,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0,2,No-Show,2016-10-25
City Hotel,1,69,2016,April,18,27,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,105.3,0,0,Canceled,2016-02-28
City Hotel,0,0,2016,April,15,4,1,0,1,0.0,0,SC,CHL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.0,0,1,Check-Out,2016-04-05
City Hotel,1,138,2016,July,28,3,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.33,0,1,Canceled,2016-03-07
City Hotel,0,190,2016,June,26,22,1,4,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,34.0,,0,Transient-Party,95.0,0,0,Check-Out,2016-06-27
City Hotel,1,60,2016,May,20,14,1,1,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,198.9,0,0,Canceled,2016-03-31
City Hotel,0,465,2017,July,30,26,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,112.67,0,1,Check-Out,2017-07-29
City Hotel,0,86,2017,April,13,1,2,2,3,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,157.25,0,2,Check-Out,2017-04-05
Resort Hotel,1,189,2016,September,39,19,1,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,,0,Transient,68.35,0,0,Canceled,2016-09-13
City Hotel,0,265,2017,August,32,10,0,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,2,Check-Out,2017-08-12
City Hotel,0,143,2017,July,29,16,2,1,2,1.0,0,BB,ROU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,86.0,,0,Transient,114.48,0,0,Check-Out,2017-07-19
City Hotel,0,23,2016,October,44,24,1,0,2,0.0,0,BB,PRT,Complementary,Corporate,0,0,1,A,D,0,No Deposit,,334.0,0,Transient,0.0,0,1,Check-Out,2016-10-25
City Hotel,1,120,2017,June,24,13,0,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,144.0,0,0,Canceled,2017-02-13
City Hotel,0,172,2016,September,39,18,2,1,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,22.0,,0,Transient,90.95,0,1,Check-Out,2016-09-21
Resort Hotel,0,35,2017,February,7,14,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,436.0,,0,Transient,35.71,0,0,Check-Out,2017-02-21
Resort Hotel,1,46,2016,March,11,11,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,375.0,,0,Transient-Party,25.0,0,0,Canceled,2016-03-02
City Hotel,0,16,2015,September,39,25,1,2,1,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,B,1,No Deposit,1.0,,0,Transient-Party,170.0,0,0,Check-Out,2015-09-28
Resort Hotel,0,5,2017,March,9,1,0,2,1,0.0,0,BB,,Corporate,Corporate,0,0,2,A,E,0,No Deposit,,356.0,0,Transient,35.0,0,1,Check-Out,2017-03-03
Resort Hotel,0,0,2017,June,24,12,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,2,13,A,A,0,No Deposit,,135.0,0,Transient,82.0,1,2,Check-Out,2017-06-13
City Hotel,1,108,2016,October,42,11,0,4,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,199.8,0,0,Canceled,2016-09-11
Resort Hotel,0,202,2016,November,46,12,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,37.8,0,2,Check-Out,2016-11-16
City Hotel,0,24,2017,March,9,2,1,3,2,0.0,0,BB,BIH,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,91.8,0,2,Check-Out,2017-03-06
City Hotel,0,457,2017,August,34,25,0,2,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,6.0,,0,Transient-Party,95.5,0,1,Check-Out,2017-08-27
Resort Hotel,1,19,2016,November,46,10,2,5,2,0.0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,464.0,,0,Transient,66.0,0,0,No-Show,2016-11-10
City Hotel,0,32,2017,January,5,30,1,4,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,115.6,0,3,Check-Out,2017-02-04
City Hotel,0,2,2015,September,39,21,1,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Group,77.0,0,0,Check-Out,2015-09-24
City Hotel,0,69,2016,March,11,11,1,2,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,48.6,0,0,Check-Out,2016-03-14
City Hotel,1,68,2016,February,8,17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,37.0,,0,Transient,75.0,0,0,Canceled,2016-01-06
City Hotel,0,210,2015,October,41,8,1,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12.0,,0,Transient-Party,72.75,0,0,Check-Out,2015-10-12
City Hotel,0,219,2015,September,36,4,0,1,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,108.0,0,0,Check-Out,2015-09-05
Resort Hotel,0,155,2017,March,11,15,6,15,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,96.0,,0,Transient,66.8,0,0,Check-Out,2017-04-05
City Hotel,1,40,2017,May,22,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,130.0,0,0,Canceled,2017-05-05
City Hotel,1,56,2016,July,28,3,2,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,162.9,0,0,Canceled,2016-05-23
City Hotel,0,123,2017,May,22,31,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,146.5,0,1,Check-Out,2017-06-04
City Hotel,0,15,2016,November,45,1,0,4,2,0.0,0,SC,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.0,0,2,Check-Out,2016-11-05
City Hotel,0,140,2017,August,32,7,1,3,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,75.6,0,0,Check-Out,2017-08-11
Resort Hotel,1,143,2016,July,29,15,2,7,2,2.0,1,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,12.0,0,0,Canceled,2016-02-24
City Hotel,0,100,2017,June,23,4,2,3,2,0.0,0,SC,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,100.8,0,1,Check-Out,2017-06-09
City Hotel,0,7,2016,January,2,8,2,3,2,0.0,0,BB,MAR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,71.6,0,0,Check-Out,2016-01-13
City Hotel,0,108,2015,August,35,24,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,1,Check-Out,2015-08-27
City Hotel,0,3,2016,June,24,7,0,3,1,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,7.0,,0,Transient,109.85,0,2,Check-Out,2016-06-10
Resort Hotel,0,1,2016,October,43,20,0,0,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0.0,0,0,Check-Out,2016-10-20
Resort Hotel,0,101,2016,December,53,31,2,5,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient,63.14,0,0,Check-Out,2017-01-07
Resort Hotel,0,7,2016,December,52,21,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,86.0,0,1,Check-Out,2016-12-24
Resort Hotel,1,277,2016,June,25,12,2,2,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110.0,0,0,Canceled,2016-03-29
City Hotel,0,48,2016,April,17,17,2,0,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,100.8,0,2,Check-Out,2016-04-19
City Hotel,0,9,2016,August,35,23,0,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9.0,,0,Transient,137.0,1,2,Check-Out,2016-08-25
City Hotel,0,6,2015,August,34,18,0,4,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient,75.0,0,1,Check-Out,2015-08-22
City Hotel,0,65,2016,July,28,8,2,4,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,146.1,0,4,Check-Out,2016-07-14
City Hotel,0,14,2017,February,7,13,1,0,3,0.0,0,BB,KOR,Direct,Direct,0,0,0,A,D,2,No Deposit,14.0,,0,Transient,98.0,0,1,Check-Out,2017-02-14
City Hotel,0,0,2016,July,30,19,0,0,2,0.0,0,BB,GBR,Direct,Direct,1,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-07-19
